Digraph,Count
Fi,127
Mu,92
mf,215
aj,174
Sa,76
ax,98
xo,15
Le,179
Qu,37
uo,179
vu,23
EM,37
MP,7
OR,64
RU,11
US,21
SS,21
SI,43
IA,12
nw,106
uv,74
dq,46
yb,149
Za,24
kr,35
ez,187
ii,406
kh,807
yp,102
ph,485
Hl,67
Hd,23
df,100
fc,29
nj,120
tn,193
zu,89
zz,50
zl,46
uz,417
cq,107
Ad,35
dj,226
Ba,502
iq,47
nq,228
hg,3
gv,1
kc,45
wd,370
rq,17
tm,212
hk,90
yk,37
La,127
AL,49
LE,95
EX,20
XA,2
DE,54
IV,88
WO,34
cf,9
tp,61
Ry,25
gy,124
mr,65
cv,7
sr,38
tf,216
wy,45
bb,227
eV,15
Vs,16
gt,219
mn,278
hv,6
eb,271
ej,91
DA,62
AV,20
VO,1
OU,68
UT,10
AS,46
TO,64
NA,42
PO,11
OL,43
EO,11
wl,223
Ca,215
Tu,135
hn,124
Vf,9
VI,132
HO,18
UG,9
BA,10
LA,29
SH,14
ux,51
xu,19
hs,169
Si,123
dk,91
rh,223
Od,6
Wa,195
fb,46
Pf,50
bv,44
bm,68
Dv,1
Dn,7
AF,27
FT,45
LL,48
tb,20
vr,88
Ag,51
HI,74
IS,63
RV,4
IE,29
EW,18
tT,1
Ty,2
Of,94
rA,7
kJ,2
Jj,1
iK,1
oq,30
Li,175
Km,2
lg,100
hw,39
Eh,56
Ih,1
Ah,177
gm,33
dm,210
Bl,33
fn,133
ji,20
iL,1
fg,2
gV,1
lb,76
iV,2
VM,1
cj,1
oh,67
IX,55
PR,83
RI,67
NC,72
DR,15
RE,128
iu,136
qs,1
md,9
Vo,65
Bc,3
eT,12
Ts,82
vl,191
yd,115
Wo,84
lz,24
Am,57
dh,59
Er,50
sq,164
yw,86
fv,2
yz,13
ET,32
TT,12
oz,114
xh,58
Tw,76
Aw,7
Je,43
kv,14
fy,107
yc,194
BE,27
EF,5
FO,46
EG,9
GI,18
NN,13
Ot,58
rz,79
Uk,5
bn,12
Sv,7
pm,29
Pd,137
Il,119
tg,19
Ra,96
Zd,7
zh,102
ae,148
fk,52
TA,29
RN,21
ja,92
Us,17
IT,65
Os,16
Ou,65
Tr,58
XV,86
ST,76
OV,30
ww,10
Cr,45
sg,53
nx,91
EC,30
WS,3
kg,27
za,115
wM,11
Fe,74
pn,23
CA,19
LM,2
Iv,82
vd,85
Un,151
Pt,126
yn,59
Ve,120
By,60
pc,134
uV,1
Vv,1
dw,66
Im,32
Sl,11
gd,67
Or,105
Gh,1
Jo,39
Ap,44
GO,3
rN,1
uh,14
Wr,38
xf,3
kf,17
vt,4
Gl,30
FE,4
TI,57
IM,11
DS,6
tk,13
Ob,12
Ex,36
Pc,19
eH,4
Hy,4
Kr,76
Ga,55
cw,14
PC,3
km,28
Va,288
YS,11
EL,70
wt,16
ih,19
Pl,101
IR,36
RD,26
EP,34
MB,6
aa,16
Ri,12
Oc,58
zf,2
Oo,12
ku,26
UN,47
eF,1
bS,2
pk,24
Zu,5
RS,33
SB,1
BU,2
UR,69
RG,3
zd,32
El,37
Bi,99
PA,16
VL,5
VN,7
kd,34
LV,15
Ya,37
fw,26
TU,17
RA,29
uy,23
IC,25
Ja,19
vz,1
Ig,12
pb,14
Es,10
vf,51
Iq,1
qp,1
Ei,15
gN,1
zn,2
AD,26
DF,1
FU,30
UL,7
YO,4
SO,16
NY,5
YA,7
TK,1
KR,1
Ep,5
FF,5
FI,74
LD,9
DI,21
Pu,34
Zi,4
Ec,7
HC,1
RB,1
BJ,1
JI,1
yG,2
XE,1
CU,3
IO,47
HR,31
EE,82
WH,26
ES,31
RY,22
Vl,16
tA,12
Et,5
NO,23
OT,24
NL,5
LY,16
MI,10
Ok,2
vg,3
oj,38
oT,3
FA,7
MO,26
FL,5
NK,14
NS,18
EU,1
KO,2
UZ,2
ZO,3
RT,35
RM,3
MY,2
lh,13
BK,1
KN,2
GS,2
pd,114
XT,16
vk,11
Ef,7
Ey,8
pf,55
NW,3
IL,83
CO,86
LU,5
UM,2
MN,1
Eg,7
WI,29
GA,4
Yd,10
NH,1
AB,7
BI,36
TS,21
SC,5
OW,15
fd,7
aD,1
Bw,3
pw,14
wu,20
gw,30
bw,16
dp,10
zt,1
Tn,2
Lu,11
Wl,3
AE,1
VA,9
Tf,39
Ug,3
mk,5
lq,1
Zt,1
LS,24
Gd,1
pj,1
cS,4
Sn,2
sv,75
dz,20
SM,2
SK,4
Fl,17
iH,3
Hb,1
Vy,28
zm,58
vw,8
Id,7
Py,3
oL,2
aU,1
Uc,1
zy,18
Mm,1
cN,1
cI,1
aT,1
uj,3
jp,1
AU,7
GU,31
cM,3
Mr,26
Yk,2
Ay,1
MM,1
Wu,7
Pw,3
Vc,4
vc,2
uL,1
Cy,16
Kd,11
Gc,2
Lv,2
mS,2
eI,3
aH,1
Ht,5
Bd,1
Qw,1
PI,44
RR,23
Ut,7
AG,9
AI,12
ij,6
jt,4
xd,6
Ce,33
eU,2
Ue,3
Ur,5
Rh,31
mI,3
sx,2
Mf,17
Vr,9
yh,17
tv,12
SU,6
UD,3
DD,17
YB,1
OD,62
DY,2
ED,35
db,30
xq,4
Bf,2
cd,16
mw,10
Yu,4
DU,46
YE,5
aB,11
nI,1
ID,32
DL,2
Ak,5
IB,3
BL,18
GE,11
cW,3
yv,2
MU,3
Ci,7
Uv,12
bc,6
fh,6
Zh,51
Ly,4
yu,58
Ul,16
bf,4
fm,14
lL,1
uI,1
Op,10
cm,7
sI,2
OY,6
IF,30
OP,14
PS,4
Ax,1
Ij,1
Ae,1
Ke,17
PP,5
Vd,15
qa,1
dT,1
WN,8
wN,1
Ph,7
oH,1
OG,31
UE,32
Ow,5
wc,16
lM,12
bh,2
Sf,5
xy,188
dS,2
eS,2
wb,13
jf,2
Hf,1
sC,1
HS,2
SL,3
kS,1
OC,14
RL,5
Az,3
mg,2
EK,1
KS,1
UA,4
dI,1
hp,9
Kh,8
CR,4
hI,1
tH,1
Ml,2
TL,5
oR,1
iN,1
Gz,1
LK,3
KI,4
hh,9
yA,3
KH,3
PU,7
Oz,3
mh,4
CT,75
OB,2
GN,3
fz,4
LI,38
gz,1
tq,2
Ir,3
mM,1
Mt,3
qc,1
Av,6
KB,1
Sd,8
kz,2
zk,4
Yi,2
gp,5
gc,8
yj,2
LG,1
GR,7
JU,3
OI,1
uw,5
kp,3
PL,6
Ll,1
jc,1
Cu,34
Ld,9
Lz,1
Cz,7
aA,1
wm,4
Ek,3
Dd,5
Nu,8
Tt,3
aF,1
Pv,3
Hn,1
kt,10
Hm,10
Ms,2
fT,2
tj,5
EY,2
jj,4
kM,6
rI,1
Up,1
AW,1
Kf,3
hL,1
Lh,1
xl,3
kb,7
sz,5
Tv,11
Ov,4
Fd,4
jr,2
iw,5
uq,2
zp,1
uu,2
cz,3
rj,4
zv,1
bp,2
mv,1
BR,14
TC,2
oW,2
Ai,4
fO,1
eA,1
DO,13
GT,2
fP,1
CI,4
gb,24
eN,4
UB,2
yy,5
gf,4
fG,1
gB,4
hG,1
rT,2
fp,4
tB,19
HY,1
eK,2
eP,1
eB,5
IZ,10
ZE,11
Fu,4
Sk,2
Ed,8
tI,3
cg,1
wp,2
cp,4
pg,1
cb,1
xs,2
sj,6
xx,1
tx,1
xm,1
UJ,1
UP,2
BY,4
UI,3
YL,2
CY,4
YC,4
OX,1
XF,1
PY,5
YR,5
NV,2
NJ,1
PH,3
IK,2
jg,2
gx,1
Ib,7
dU,1
xv,2
aP,1
dR,1
Kl,7
eR,5
IP,2
EZ,1
ZU,1
UK,2
VS,1
sT,1
KU,4
Lc,1
oM,2
Mn,1
oB,3
sS,1
yJ,1
JP,1
iS,1
hB,1
sM,1
Mc,1
Hc,2
cH,2
RC,8
CK,11
zs,1
tW,2
Ws,1
NF,2
vS,1
jn,1
Mg,2
Zn,17
BS,2
RP,1
hj,2
js,2
GL,10
fB,2
tO,2
TM,2
OE,1
GY,1
YU,1
vA,1
wS,2
gC,1
Iw,1
UC,42
CC,4
Pn,1
jA,1
NU,14
dC,4
lS,1
Db,1
Tp,3
DM,1
KE,11
dD,3
Vx,1
zr,1
Mv,1
jl,2
Vt,2
oV,1
gS,1
wg,1
gI,1
aM,2
dA,1
BC,2
Jl,1
JH,1
jh,1
NM,1
dL,1
Lt,1
nT,2
Tm,1
vm,1
HU,2
Oe,1
sZ,1
vh,3
bq,1
qt,12
qi,1
tS,6
Js,1
mJ,1
rJ,1
Jm,1
Vu,1
zM,1
GG,1
RK,1
gU,1
nC,5
Zw,1
xw,1
iD,1
Sr,1
hA,1
nP,1
Jt,1
cV,1
MS,6
LF,3
rM,1
CJ,1
oS,3
SP,5
aL,1
cU,1
TZ,2
Gw,1
aV,1
Ip,1
zw,1
Io,1
Dc,2
yR,1
rC,1
Jc,1
Aa,1
Kw,1
nV,1
lx,1
AH,1
XP,1
cT,1
LT,2
TJ,1
JV,1
zV,1
DV,1
OJ,1
JE,1
AK,1
QU,2
FY,3
LR,1
Kg,1
Qt,3
Rs,3
tP,1
AX,1
DT,16
xC,14
yC,14
eO,20
fL,18
rW,5
sG,1
eC,8
pE,6
mB,2
eD,2
dK,1
wB,5
rV,1
rS,1
tC,1
rP,1
tL,2
ql,6
wG,13
pI,6
xA,1
wF,3
wL,2
tN,2
oC,3
tG,7
dN,4
dx,7
nR,1
FD,1
FP,1
cD,2
tF,6
dE,8
pF,2
tR,5
pR,1
pB,15
bB,3
lA,12
lU,3
lG,4
Cn,4
cC,2
rU,1
Ui,1
GV,1
xg,5
nG,1
Tc,1
